movie,contents,score
시네마 천국,"멋지구만~~~~""""""""",10
시네마 천국,저마다의 추억과 향수를 담은 필름. 마지막 장면은 평생토록 잊지못할 것이다,10
시네마 천국,정말 감동적인 영화ㅠㅠ,10
시네마 천국,평범하고 기본이 뭐든 제일 첫걸음이라는 것을 보여준 영화..영화에 관심있거나 영화에 관련된 인생을 살고자 하는 사람에게는 유교의 사서삼경같은 필청화..,9
시네마 천국,다시는 나올 수 없는 영화.  첫사랑.,10
시네마 천국,영화중반부터 눈물이 계속 나네요. 왜눈물이나는지 알수없지만 가슴먹먹해지고 따뜻해지. 어린토토처럼 지난추억이 아련하면서 가슴에 남기고 앞으로 나아가야지 이런생각이 듭니다. 최고.,10
시네마 천국,100년후에도 최고의 영화,10
시네마 천국,무슨 말이 필요하겠습니까. 음악 배경 시나리오 연기 그리고 라스트씬 완벽한 하모니,10
시네마 천국,아려온다. 가슴이..,10
시네마 천국,두 말할 필요없는 만점짜리 영화지.,10
시네마 천국,영화의 정석을 제대로 보여주는 영화!,10
시네마 천국,명작답습니다. 정말 감동적이고 마음이 짠하네요. 다른 명화들도 현재 상영관에서 재상영을 해주셨으면 좋겠습니다.,10
시네마 천국,재개봉을 세번이나 한이유는 바로 이거다!,10
시네마 천국,버려지지 않은 삭제 필름처럼 영원히 기억될 완소영화.,9
시네마 천국,최고의 영화입니다 ㅠㅠ,10
시네마 천국,"영화가 시작하고 끝나듯이, 영화를 시작하게 해주는 이가 있고, 그이가 떠남으로 영화가 마무리 된다는것이.. 참 영화같은 삶인것이다. 나도 삶이 영화 같다는 생각을 해본다..",10
시네마 천국,정말 명작이네요 최고.,10
시네마 천국,"한사람의일생을 너무잘그려냈고 잘안우는나도 찡했다토토멋지다 두친구는 정말멋지고, 마을사람들 모습도 너무보기좋다. 다시또 보고싶고 음악도최고다",10
시네마 천국,2010.08.29 20:48 보고 극장 재개봉해서 봤다. 영화를 좋아하는 사람이라면 이 영화를 재미없게 볼 수 있을까?,9
시네마 천국,흔히 말하는 내 인생 최고가 아니라 내 인생의 영화.,10
시네마 천국,다시 봐도 여전히  전과 같은 감상에 젖어들게 만든다면 이게 바로 좋은 영화가 아닐까,9
시네마 천국,중 1이지만 ㅎ지금까지 본 영화중에서 가장 좋은 영화네요!,10
